이름,부위,설명,URL_1번 이미지,URL_2번 이미지
바벨 바이셉 컬,이두,바벨을 이용해 상완 이두근을 강화하는 운동. 팔을 구부리며 이두근을 자극.,https://upload.wikimedia.org/wikipedia/commons/2/24/Close-grip-ez-bar-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/d/db/Close-grip-ez-bar-curl-2.png
덤벨 바이셉 컬,이두,덤벨을 사용해 팔의 이두근을 강화하는 운동. 한 손씩 번갈아가며 수행.,https://upload.wikimedia.org/wikipedia/commons/7/7f/Biceps-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/6/66/Biceps-curl-2.png
레그 바이셉 컬,후면 허벅지,다리를 구부리며 허벅지 후면 근육을 자극하는 운동.,https://upload.wikimedia.org/wikipedia/commons/6/6a/Concentration-curls-1.png,https://upload.wikimedia.org/wikipedia/commons/9/97/Concentration-curls-2.png
디클라인 싯 업,복근,디클라인 벤치에서 상체를 들어 올리며 복부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/e/e8/Decline-sit-up-1.png,https://upload.wikimedia.org/wikipedia/commons/e/ec/Decline-sit-up-2.png
AB롤아웃,복근,AB 휠을 이용해 코어와 복부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/a/a6/Ab-rollout-1.png,https://upload.wikimedia.org/wikipedia/commons/0/03/Ab-rollout-2.png
바이셉 해머 컬,이두/전완근,해머 그립으로 덤벨을 이용해 팔과 전완근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/6/66/Bicep-hammer-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/8/86/Bicep-hammer-curl-2.png
카프레이즈,종아리,발끝으로 서서 종아리 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/3/30/Calf-raises-1.png,https://upload.wikimedia.org/wikipedia/commons/b/bb/Calf-raises-2.png
크로스 바디 크런치,복근/옆구리,상체를 비틀며 옆구리 근육을 강화하는 크런치 운동.,https://upload.wikimedia.org/wikipedia/commons/5/5b/Cross-body-crunch-1.png,https://upload.wikimedia.org/wikipedia/commons/7/7f/Cross-body-crunch-2.png
벤치 딥스,삼두/가슴,벤치를 이용해 체중을 지탱하며 삼두근과 가슴 근육을 강화.,https://upload.wikimedia.org/wikipedia/commons/d/d0/Bench-dips-1.png,https://upload.wikimedia.org/wikipedia/commons/9/95/Bench-dips-2.png
클로즈 그립 벤치 프레스,삼두/가슴,좁은 그립으로 벤치 프레스를 하여 삼두근을 집중적으로 강화.,https://upload.wikimedia.org/wikipedia/commons/6/6c/Close-grip-bench-press-1.png,https://upload.wikimedia.org/wikipedia/commons/c/c7/Close-grip-bench-press-2.png
클로즈 트라이셉스 푸쉬업,삼두/가슴,좁은 손 간격으로 푸쉬업을 수행하여 삼두근을 주로 자극하는 운동,https://upload.wikimedia.org/wikipedia/commons/c/c0/Close-triceps-pushup-1.png,https://upload.wikimedia.org/wikipedia/commons/7/77/Close-triceps-pushup-2.png
크런치,복근,상체를 들어 복부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/d/db/Crunches-1.png,https://upload.wikimedia.org/wikipedia/commons/e/ef/Crunches-2.png
크로스 바디 해머 컬,이두/전완근,덤벨을 크로스 형태로 들어 올리며 이두와 전완근을 강화.,https://upload.wikimedia.org/wikipedia/commons/4/42/Cross-body-hammer-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/6/64/Cross-body-hammer-curl-2.png
드래그 컬,이두,바벨을 몸에 가깝게 끌어올리며 이두근을 집중적으로 자극.,https://upload.wikimedia.org/wikipedia/commons/f/f4/Drag-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/9/91/Drag-curl-2.png
카프 프레스 (레그 머신),종아리,레그 프레스 머신을 이용해 종아리를 집중적으로 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/1/1d/Calves-press-on-leg-machine-1.png,https://upload.wikimedia.org/wikipedia/commons/6/61/Calves-press-on-leg-machine-2.png
얼터네이트 인클라인 컬,이두,인클라인 벤치에서 교대로 덤벨을 들어 이두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Alternate-incline-curl-1.png/640px-Alternate-incline-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Alternate-incline-curl-2.png/640px-Alternate-incline-curl-2.png
리버스 바이셉 컬,전완근/이두,덤벨을 리버스 그립으로 들어 이두와 전완근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Biceps-curl-reverse-2.png/640px-Biceps-curl-reverse-2.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Biceps-curl-reverse-1.png/640px-Biceps-curl-reverse-1.png
프론트 스쿼트,전면 허벅지/엉덩이,바벨을 앞에 두고 수행하는 스쿼트로 전면 허벅지에 중점을 둠.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Front-squat-1-857x1024.png/640px-Front-squat-1-857x1024.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Front-squat-2-857x1024.png/640px-Front-squat-2-857x1024.png
T-바 로우,등,T-바 장비를 이용해 등을 강화하는 로우 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/T-bar-row-1.png/640px-T-bar-row-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/T-bar-row-2.png/640px-T-bar-row-2.png
바벨 숄더 프레스,어깨,바벨을 들어 어깨 근육을 강화하는 운동. 상체의 안정성을 높임.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Barbell_shoulder_press_1.svg/640px-Barbell_shoulder_press_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Barbell_shoulder_press_2.svg/640px-Barbell_shoulder_press_2.svg.png
스탠딩 레그 컬,후면 허벅지,서서 다리를 굽혀 허벅지 뒤쪽 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Standing-leg-curl-1.png/640px-Standing-leg-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Standing-leg-curl-2.png/640px-Standing-leg-curl-2.png
사이드 밴드 (덤벨),복근/기타,덤벨을 들고 몸통을 좌우로 기울여 옆구리 근육을 자극.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Side_bend_with_dumbbell_1.svg/640px-Side_bend_with_dumbbell_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Side_bend_with_dumbbell_2.svg/640px-Side_bend_with_dumbbell_2.svg.png
클로즈 그립 벤치 프레스,삼두/가슴,좁은 그립으로 벤치 프레스를 하여 삼두근을 집중적으로 강화.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Close-grip-bench-press-1.png/640px-Close-grip-bench-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Close-grip-bench-press-2.png/640px-Close-grip-bench-press-2.png
디클라인 클로즈 그립 벤치-스컬 크러셔,삼두,디클라인 벤치에서 클로즈 그립 벤치프레스와 스컬 크러셔를 결합한 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Decline-close-grip-bench-to-skull-crusher-2.png/640px-Decline-close-grip-bench-to-skull-crusher-2.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Decline-close-grip-bench-to-skull-crusher-1.png/640px-Decline-close-grip-bench-to-skull-crusher-1.png
디클라인 EZ 바 트라이셉스 익스텐션,삼두,EZ바를 사용하여 삼두근을 집중적으로 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Decline-ez-bar-triceps-extension-1.png/640px-Decline-ez-bar-triceps-extension-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Decline-ez-bar-triceps-extension-2.png/640px-Decline-ez-bar-triceps-extension-2.png
원 레그 케이블 킥백,둔근/햄스트링,케이블 머신을 이용해 한쪽 다리를 뒤로 차면서 둔근과 햄스트링을 자극하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/One_legged_cable_kickback_1.svg/640px-One_legged_cable_kickback_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/One_legged_cable_kickback_2.svg/640px-One_legged_cable_kickback_2.svg.png
슈퍼맨,기타,상체와 다리를 동시에 들어올려 허리와 코어 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Supermans-1.png/640px-Supermans-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Supermans-2.png/640px-Supermans-2.png
런지,전면 허벅지/엉덩이,바벨을 들고 런지를 하며 하체 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Lunges-1.png/646px-Lunges-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Lunges-2.png/646px-Lunges-2.png
스파이더 컬,이두,경사 벤치에서 엎드려 이두근을 더욱 깊게 자극하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Spider-curl-1.gif/640px-Spider-curl-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Spider-curl-2.gif/640px-Spider-curl-2.gif
아놀드 프레스,어깨,아놀드 슈왈제네거가 만든 변형 덤벨 숄더 프레스로 어깨 근육을 다방면으로 자극.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Arnold-press-1.png/640px-Arnold-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Arnold-press-2.png/640px-Arnold-press-2.png
힙 어브덕션,엉덩이,머신을 사용해 다리를 바깥으로 벌려 엉덩이 외측 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Thigh-abductor-1.gif/640px-Thigh-abductor-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Thigh-abductor-2.gif/640px-Thigh-abductor-2.gif
핵 스쿼트,전면 허벅지/엉덩이,기구를 사용해 하체 근육을 집중적으로 강화하는 스쿼트 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Hack-squats-1.gif/640px-Hack-squats-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Hack-squats-2.gif/640px-Hack-squats-2.gif
트라이셉스 푸쉬다운,삼두,케이블과 로프를 사용해 삼두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Triceps-pushdown-1.gif/640px-Triceps-pushdown-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Triceps-pushdown-2.gif/640px-Triceps-pushdown-2.gif
덤벨 레이즈,어깨,덤벨을 옆으로 들어 올려 어깨 근육을 발달시키는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Dumbbell-raise-1.png/640px-Dumbbell-raise-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Dumbbell-raise-2.png/640px-Dumbbell-raise-2.png
케이블 슈러그,등,케이블을 사용해 어깨를 으쓱하며 승모근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Cable-shrugs-1.png/640px-Cable-shrugs-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Cable-shrugs-2.png/640px-Cable-shrugs-2.png
케이블 크로스오버,가슴,케이블 머신을 사용해 가슴 근육을 수축시키며 발달시키는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Cable-crossover-1.png/640px-Cable-crossover-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Cable-crossover-2.png/640px-Cable-crossover-2.png
인클라인 벤치 프레스,가슴,인클라인 벤치에서 바벨을 들어 올리며 가슴 상부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Incline-bench-press-1.png/640px-Incline-bench-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Incline-bench-press-2.png/640px-Incline-bench-press-2.png
스쿼트 (와이드 스탠스),전면 허벅지/엉덩이,넓은 스탠스를 취하여 하체와 엉덩이 근육을 강화하는 스쿼트.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Wide-stance-squat-1.gif/640px-Wide-stance-squat-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wide-stance-squat-2.gif/640px-Wide-stance-squat-2.gif
덤벨 프론트 레이즈,어깨,덤벨을 앞쪽으로 들어 어깨 전면 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Dumbbell-front-raises-1.png/640px-Dumbbell-front-raises-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Dumbbell-front-raises-2.png/640px-Dumbbell-front-raises-2.png
레그 익스텐션,전면 허벅지,레그 익스텐션 머신을 사용해 허벅지 전면 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Leg-extensions-1-672x1024.png/640px-Leg-extensions-1-672x1024.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Leg-extensions-2-672x1024.png/393px-Leg-extensions-2-672x1024.png
바디 로우,등,자신의 체중을 이용해 몸을 들어 올려 등 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Body-row-1.png/539px-Body-row-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Body-row-2.png/539px-Body-row-2.png
바벨 프론트 레이즈,어깨,바벨을 앞쪽으로 들어 올려 어깨 전면 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Barbell-front-raises-1.png/640px-Barbell-front-raises-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Barbell-front-raises-2.png/640px-Barbell-front-raises-2.png
라잉 트라이셉스 익스텐션,삼두,누워서 팔을 펴며 삼두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Lying-triceps-extension-1.gif/640px-Lying-triceps-extension-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Lying-triceps-extension-2.gif/640px-Lying-triceps-extension-2.gif
인클라인 플라이,가슴,인클라인 벤치에서 덤벨을 넓게 벌리며 가슴 근육을 자극하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Incline-flys-with-a-twist-1.png/640px-Incline-flys-with-a-twist-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Incline-flys-with-a-twist-2.png/640px-Incline-flys-with-a-twist-2.png
버터플라이 머신,가슴,버터플라이 머신을 이용해 가슴 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Butterfly-machine-1.png/640px-Butterfly-machine-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Butterfly-machine-2.png/640px-Butterfly-machine-2.png
시티드 트라이셉스 프레스,삼두,앉은 자세에서 덤벨을 들어 삼두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Seated-triceps-press-1.gif/640px-Seated-triceps-press-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Seated-triceps-press-2.gif/640px-Seated-triceps-press-2.gif
인클라인 케이블 플라이,가슴,인클라인 각도에서 케이블을 사용해 가슴 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Incline-cable-flyes-1.png/640px-Incline-cable-flyes-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Incline-cable-flyes-2.png/640px-Incline-cable-flyes-2.png
힙 어덕션,내전근,기구를 사용해 허벅지 안쪽 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Hip-adduction-1-634x1024.png/640px-Hip-adduction-1-634x1024.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Hip-adduction-2-634x1024.png/640px-Hip-adduction-2-634x1024.png
인클라인 푸쉬다운,삼두,인클라인 자세에서 케이블을 사용해 삼두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Incline-pushdown-1.gif/640px-Incline-pushdown-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Incline-pushdown-2.gif/640px-Incline-pushdown-2.gif
스탠딩 바이셉 컬,이두,서서 덤벨을 들어 이두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Standing-biceps-curl-1.gif/640px-Standing-biceps-curl-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Standing-biceps-curl-2.gif/640px-Standing-biceps-curl-2.gif
플랫 벤치 케이블 플라이,가슴,플랫 벤치에서 케이블을 사용해 가슴 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flat-bench-cable-flys-1.png/640px-Flat-bench-cable-flys-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flat-bench-cable-flys-2.png/640px-Flat-bench-cable-flys-2.png
오버헤드 컬 (케이블),이두,케이블을 사용해 팔을 머리 위로 들어올리며 이두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Overhead_curl_with_cable_1.svg/640px-Overhead_curl_with_cable_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Overhead_curl_with_cable_2.svg/640px-Overhead_curl_with_cable_2.svg.png
제퍼슨 스쿼트 (바벨),전면 허벅지/엉덩이,바벨을 잡고 다리 사이에 놓은 채로 스쿼트를 수행하여 하체 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Jefferson_squats_with_barbell_1.svg/242px-Jefferson_squats_with_barbell_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jefferson_squats_with_barbell_2.svg/242px-Jefferson_squats_with_barbell_2.svg.png
프론트 케이블 레이즈,어깨,케이블을 사용해 팔을 앞으로 들어 올려 어깨 전면 근육을 자극하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Cable-front-raises-1.png/640px-Cable-front-raises-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Cable-front-raises-2.png/640px-Cable-front-raises-2.png
파일 스쿼트 (덤벨),전면 허벅지/엉덩이,덤벨을 가슴 높이에서 들고 하체 근육을 강화하는 스쿼트 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Pile_squat_with_dumbbell_1.svg/349px-Pile_squat_with_dumbbell_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Pile_squat_with_dumbbell_2.svg/349px-Pile_squat_with_dumbbell_2.svg.png
덤벨 벤트 암 풀오버,가슴/등,덤벨을 머리 위로 들어올리며 가슴과 등의 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Dumbbell-bent-arm-pullover-1.png/640px-Dumbbell-bent-arm-pullover-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Dumbbell-bent-arm-pullover-2.png/640px-Dumbbell-bent-arm-pullover-2.png
덤벨 레터럴 레이즈,어깨,덤벨을 옆으로 들어 어깨 측면 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Dumbbell-lateral-raises-1.png/640px-Dumbbell-lateral-raises-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Dumbbell-lateral-raises-2.png/640px-Dumbbell-lateral-raises-2.png
바벨 굿모닝,엉덩이/후면 허벅지,바벨을 어깨에 두고 허리를 굽혔다가 펴며 하체와 허리 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Barbell_good_mornings_1.svg/640px-Barbell_good_mornings_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Barbell_good_mornings_2.svg/640px-Barbell_good_mornings_2.svg.png
인클라인 벤치 프레스,가슴,인클라인 벤치에서 바벨을 들어 올리며 가슴 상부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Incline-bench-press-1.png/640px-Incline-bench-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Incline-bench-press-2.png/640px-Incline-bench-press-2.png
